tool	q3b Q3B version 1.1-dev	q3b Q3B version 1.1-dev	q3b Q3B version 1.1-dev	q3b Q3B version 1.1-dev	q3b Q3B version 1.1-dev
run set	vanilla	vanilla	vanilla	vanilla	vanilla
/var/tmp/vcloud-q3b/BV/	status	cputime (s)	walltime (s)	memory (MB)	host
20230321-UltimateAutomizerSvcomp2023/heapsort.i_3.smt2	false	0.367015814	0.1517079882323742	108.007424	ben08
20230321-UltimateAutomizerSvcomp2023/heapsort.i_4.smt2	true	0.368575602	0.1627383977174759	101.601280	ben10
20230321-UltimateAutomizerSvcomp2023/heapsort.i_5.smt2	false	0.620249623	0.24796264432370663	101.470208	ben02
20230321-UltimateAutomizerSvcomp2023/heapsort.i_6.smt2	true	0.275026979	0.13376577198505402	99.586048	ben10
20230321-UltimateAutomizerSvcomp2023/heapsort.i_8.smt2	false	0.34376253	0.15264615416526794	99.856384	ben10
20230321-UltimateAutomizerSvcomp2023/heapsort.i_9.smt2	false	0.644020568	0.25744398310780525	112.046080	ben09
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_0.smt2	false	0.308207513	0.14294250309467316	115.503104	ben10
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_1.smt2	false	0.322652729	0.1479572430253029	114.065408	ben10
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_10.smt2	false	0.680948405	0.2748740613460541	143.200256	ben09
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_11.smt2	false	0.263856983	0.13008908927440643	112.529408	ben10
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_13.smt2	false	0.130397331	0.08529435843229294	100.298752	ben10
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_2.smt2	false	0.10279679	0.0753889661282301	100.716544	ben09
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_3.smt2	false	0.431569765	0.18988442793488503	112.742400	ben02
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_4.smt2	false	0.411250301	0.17898237518966198	114.638848	ben02
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_5.smt2	false	0.614311776	0.2412131130695343	134.262784	ben08
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_6.smt2	false	0.534731837	0.23835978657007217	111.628288	ben02
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_7.smt2	false	0.292255075	0.13692102394998074	113.987584	ben09
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_8.smt2	false	0.305098257	0.1437174677848816	113.799168	ben09
20230321-UltimateAutomizerSvcomp2023/jain_2-2.c_9.smt2	false	0.375586243	0.1670731734484434	117.399552	ben02
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_1.smt2	false	1.106578596	0.40306810289621353	209.952768	ben08
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_10.smt2	false	1.052498571	0.39862871170043945	174.960640	ben02
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_11.smt2	false	2.214848621	0.7900035530328751	254.750720	ben02
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_12.smt2	false	0.996027235	0.38017609156668186	155.656192	ben09
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_2.smt2	false	1.253789953	0.45241854526102543	214.372352	ben08
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_3.smt2	false	0.134487977	0.0877295546233654	100.978688	ben09
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_4.smt2	false	1.227720121	0.45370596274733543	182.878208	ben09
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_5.smt2	false	1.059984998	0.4006845448166132	165.347328	ben09
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_6.smt2	false	3.961180858	1.3794541880488396	318.111744	ben02
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_7.smt2	false	1.475940183	0.5288820005953312	200.740864	ben08
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_8.smt2	false	1.129647934	0.419662170112133	173.838336	ben10
20230321-UltimateAutomizerSvcomp2023/jain_4-1.c_9.smt2	false	1.209098847	0.4535558857023716	174.804992	ben10
20230321-UltimateAutomizerSvcomp2023/jain_4-2.c_13.smt2	false	0.726071963	0.28346037119627	130.482176	ben09
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_1.smt2	false	1.67950107	0.5989993195980787	213.053440	ben08
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_10.smt2	false	2.112975474	0.7521733734756708	200.704000	ben09
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_11.smt2	false	4.542875276	1.5727277491241693	342.622208	ben09
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_12.smt2	false	1.809514081	0.6515513490885496	209.694720	ben02
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_2.smt2	false	1.80625804	0.6534946337342262	194.879488	ben02
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_3.smt2	false	0.116187491	0.0808345414698124	101.044224	ben10
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_4.smt2	false	2.287291198	0.8217655066400766	212.529152	ben09
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_5.smt2	false	2.092285245	0.7434221375733614	202.838016	ben09
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_6.smt2	false	9.283462818	3.162787174805999	486.723584	ben02
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_7.smt2	false	2.053021069	0.7255982160568237	302.149632	ben08
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_8.smt2	false	1.353145906	0.48757626488804817	200.228864	ben08
20230321-UltimateAutomizerSvcomp2023/jain_6-1.c_9.smt2	false	1.93563862	0.6891676932573318	199.651328	ben02
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_0.smt2	false	0.732397231	0.28968056105077267	133.099520	ben02
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_10.smt2	false	0.708793767	0.2824614606797695	134.914048	ben10
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_11.smt2	false	0.51465391	0.21761169657111168	113.799168	ben09
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_13.smt2	false	0.111375981	0.09584844298660755	100.421632	ben02
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_2.smt2	false	0.109460105	0.08358859270811081	100.909056	ben02
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_3.smt2	false	0.283185235	0.13927636668086052	114.044928	ben02
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_4.smt2	false	0.194151123	0.10033725947141647	104.685568	ben08
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_5.smt2	false	0.796760781	0.32002882845699787	143.126528	ben02
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_6.smt2	TIMEOUT	302.968688709	101.04979040287435	921.096192	ben08
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_8.smt2	false	0.254964191	0.11899793334305286	110.899200	ben08
20230321-UltimateAutomizerSvcomp2023/jain_7-1.c_9.smt2	false	0.300406119	0.13188565522432327	116.342784	ben08
20230321-UltimateAutomizerSvcomp2023/jain_7-2.c_1.smt2	false	0.572779401	0.232880637049675	123.985920	ben10
20230321-UltimateAutomizerSvcomp2023/linear-inequality-inv-a.c_0.smt2	false	0.123066251	0.08286995068192482	99.336192	ben10
20230321-UltimateAutomizerSvcomp2023/linear-inequality-inv-a.c_1.smt2	false	0.113741818	0.07574181631207466	99.409920	ben10
20230321-UltimateAutomizerSvcomp2023/linear-inequality-inv-a.c_2.smt2	false	0.13261542	0.08463793992996216	99.225600	ben10
20230321-UltimateAutomizerSvcomp2023/linear-inequality-inv-a.c_3.smt2	false	0.13191266	0.09472811780869961	99.020800	ben09
20230321-UltimateAutomizerSvcomp2023/linear-inequality-inv-a.c_5.smt2	false	0.083413321	0.057145632803440094	99.794944	ben08
20230321-UltimateAutomizerSvcomp2023/linear-inequality-inv-a.c_6.smt2	false	0.150094494	0.0917767807841301	100.167680	ben02
20230321-UltimateAutomizerSvcomp2023/linear-inequality-inv-a.c_7.smt2	false	0.213181707	0.11350821517407894	101.466112	ben09
